id,season,city,date
1216492,2020,Abu Dhabi,19-09-2020
1216493,2020,Dubai (DSC),20-09-2020
1216494,2020,Abu Dhabi,21-10-2020
1216495,2020,Sharjah,03-11-2020
1216496,2020,Sharjah,22-09-2020
1216497,2020,Abu Dhabi,24-10-2020
1216498,2020,Dubai (DSC),24-10-2020
1216499,2020,Abu Dhabi,28-10-2020
1216500,2020,Sharjah,09-10-2020
1216501,2020,Abu Dhabi,07-10-2020
1216502,2020,Sharjah,31-10-2020
1216503,2020,Abu Dhabi,01-10-2020
1216504,2020,Dubai (DSC),30-09-2020
1216505,2020,Abu Dhabi,02-11-2020
1216506,2020,Abu Dhabi,01-11-2020
1216507,2020,Dubai (DSC),11-10-2020
1216508,2020,Abu Dhabi,23-09-2020
1216509,2020,Sharjah,17-10-2020
1216510,2020,Dubai (DSC),24-09-2020
1216511,2020,Abu Dhabi,06-10-2020
1216512,2020,Abu Dhabi,18-10-2020
1216513,2020,Dubai (DSC),04-10-2020
1216514,2020,Abu Dhabi,03-10-2020
1216515,2020,Sharjah,03-10-2020
1216516,2020,Dubai (DSC),02-10-2020
1216517,2020,Dubai (DSC),18-10-2020
1216518,2020,Dubai (DSC),22-10-2020
1216519,2020,Dubai (DSC),05-10-2020
1216520,2020,Sharjah,26-10-2020
1216521,2020,Sharjah,23-10-2020
1216522,2020,Dubai (DSC),17-10-2020
1216523,2020,Abu Dhabi,10-10-2020
1216524,2020,Dubai (DSC),27-10-2020
1216525,2020,Dubai (DSC),10-10-2020
1216526,2020,Abu Dhabi,16-10-2020
1216527,2020,Sharjah,27-09-2020
1216528,2020,Dubai (DSC),13-10-2020
1216529,2020,Abu Dhabi,11-10-2020
1216530,2020,Dubai (DSC),01-11-2020
1216531,2020,Sharjah,15-10-2020
1216532,2020,Abu Dhabi,29-09-2020
1216533,2020,Abu Dhabi,19-10-2020
1216534,2020,Dubai (DSC),21-09-2020
1216535,2020,Dubai (DSC),31-10-2020
1216536,2020,Dubai (DSC),29-10-2020
1216537,2020,Abu Dhabi,30-10-2020
1216538,2020,Sharjah,04-10-2020
1216539,2020,Dubai (DSC),25-09-2020
1216540,2020,Sharjah,12-10-2020
1216541,2020,Abu Dhabi,25-10-2020
1216542,2020,Dubai (DSC),08-10-2020
1216543,2020,Dubai (DSC),14-10-2020
1216544,2020,Dubai (DSC),25-10-2020
1216545,2020,Abu Dhabi,26-09-2020
1216546,2020,Dubai (DSC),20-10-2020
1216547,2020,Dubai (DSC),28-09-2020
1237177,2020,Dubai (DSC),05-11-2020
1237178,2020,Abu Dhabi,06-11-2020
1237180,2020,Abu Dhabi,08-11-2020
1237181,2020,Dubai (DSC),10-11-2020
