id,season,date,team_1,team_2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets
1216492,2020,19-09-2020,MI,CSK,CSK,field,normal,0,CSK,0,5
1216493,2020,20-09-2020,DC,KXIP,KXIP,field,tie,0,DC,0,0
1216534,2020,21-09-2020,SRH,RCB,SRH,field,normal,0,RCB,10,0
1216496,2020,22-09-2020,RR,CSK,CSK,field,normal,0,RR,16,0
1216508,2020,23-09-2020,KKR,MI,KKR,field,normal,0,MI,49,0
1216510,2020,24-09-2020,KXIP,RCB,RCB,field,normal,0,KXIP,97,0
1216539,2020,25-09-2020,CSK,DC,CSK,field,normal,0,DC,44,0
1216545,2020,26-09-2020,KKR,SRH,SRH,bat,normal,0,KKR,0,7
1216527,2020,27-09-2020,RR,KXIP,RR,field,normal,0,RR,0,4
1216547,2020,28-09-2020,RCB,MI,MI,field,tie,0,RCB,0,0
1216532,2020,29-09-2020,DC,SRH,DC,field,normal,0,SRH,15,0
1216504,2020,30-09-2020,RR,KKR,RR,field,normal,0,KKR,37,0
1216503,2020,01-10-2020,KXIP,MI,KXIP,field,normal,0,MI,48,0
1216516,2020,02-10-2020,CSK,SRH,SRH,bat,normal,0,SRH,7,0
1216514,2020,03-10-2020,RCB,RR,RR,bat,normal,0,RCB,0,8
1216515,2020,03-10-2020,DC,KKR,KKR,field,normal,0,DC,18,0
1216538,2020,04-10-2020,MI,SRH,MI,bat,normal,0,MI,34,0
1216513,2020,04-10-2020,KXIP,CSK,KXIP,bat,normal,0,CSK,0,10
1216519,2020,05-10-2020,RCB,DC,RCB,field,normal,0,DC,59,0
1216511,2020,06-10-2020,MI,RR,MI,bat,normal,0,MI,57,0
1216501,2020,07-10-2020,KKR,CSK,KKR,bat,normal,0,KKR,10,0
1216542,2020,08-10-2020,SRH,KXIP,SRH,bat,normal,0,SRH,69,0
1216500,2020,09-10-2020,RR,DC,RR,field,normal,0,DC,46,0
1216523,2020,10-10-2020,KXIP,KKR,KKR,bat,normal,0,KKR,2,0
1216525,2020,10-10-2020,CSK,RCB,RCB,bat,normal,0,RCB,37,0
1216507,2020,11-10-2020,SRH,RR,SRH,bat,normal,0,RR,0,5
1216529,2020,11-10-2020,MI,DC,DC,bat,normal,0,MI,0,5
1216540,2020,12-10-2020,RCB,KKR,RCB,bat,normal,0,RCB,82,0
1216528,2020,13-10-2020,SRH,CSK,CSK,bat,normal,0,CSK,20,0
1216543,2020,14-10-2020,DC,RR,DC,bat,normal,0,DC,13,0
1216531,2020,15-10-2020,RCB,KXIP,RCB,bat,normal,0,KXIP,0,8
1216526,2020,16-10-2020,MI,KKR,KKR,bat,normal,0,MI,0,8
1216522,2020,17-10-2020,RR,RCB,RR,bat,normal,0,RCB,0,7
1216509,2020,17-10-2020,DC,CSK,CSK,bat,normal,0,DC,0,5
1216512,2020,18-10-2020,SRH,KKR,SRH,field,tie,0,KKR,0,0
1216517,2020,18-10-2020,MI,KXIP,MI,bat,tie,0,KXIP,0,0
1216533,2020,19-10-2020,CSK,RR,CSK,bat,normal,0,RR,0,7
1216546,2020,20-10-2020,KXIP,DC,DC,bat,normal,0,KXIP,0,5
1216494,2020,21-10-2020,KKR,RCB,KKR,bat,normal,0,RCB,0,8
1216518,2020,22-10-2020,RR,SRH,SRH,field,normal,0,SRH,0,8
1216521,2020,23-10-2020,CSK,MI,MI,field,normal,0,MI,0,10
1216497,2020,24-10-2020,KKR,DC,DC,field,normal,0,KKR,59,0
1216498,2020,24-10-2020,KXIP,SRH,SRH,field,normal,0,KXIP,12,0
1216544,2020,25-10-2020,RCB,CSK,RCB,bat,normal,0,CSK,0,8
1216541,2020,25-10-2020,RR,MI,MI,bat,normal,0,RR,0,8
1216520,2020,26-10-2020,KKR,KXIP,KXIP,field,normal,0,KXIP,0,8
1216524,2020,27-10-2020,SRH,DC,DC,field,normal,0,SRH,88,0
1216499,2020,28-10-2020,MI,RCB,MI,field,normal,0,MI,0,5
1216536,2020,29-10-2020,CSK,KKR,CSK,field,normal,0,CSK,0,6
1216537,2020,30-10-2020,KXIP,RR,RR,field,normal,0,RR,0,7
1216535,2020,31-10-2020,DC,MI,MI,field,normal,0,MI,0,9
1216502,2020,31-10-2020,RCB,SRH,SRH,field,normal,0,SRH,0,5
1216506,2020,01-11-2020,CSK,KXIP,CSK,field,normal,0,CSK,0,9
1216530,2020,01-11-2020,KKR,RR,RR,field,normal,0,KKR,60,0
1216505,2020,02-11-2020,DC,RCB,DC,field,normal,0,DC,0,6
1216495,2020,03-11-2020,SRH,MI,SRH,field,normal,0,SRH,0,10
1237177,2020,05-11-2020,DC,MI,DC,field,normal,0,MI,57,0
1237178,2020,06-11-2020,RCB,SRH,SRH,field,normal,0,SRH,0,6
1237180,2020,08-11-2020,DC,SRH,DC,bat,normal,0,DC,17,0
1237181,2020,10-11-2020,DC,MI,DC,bat,normal,0,MI,0,5
